"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Edit","Find Next","Ctrl+Alt+Shift+K","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Quick Outline","Ctrl+Alt+Shift+O","Editing JavaScript Source"
"SVN","Show Revision Graph...","Ctrl+Alt+Y","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"File","Properties","Alt+Enter","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"SVN","Update to Revision","Ctrl+Alt+D","In Windows"
"Navigate","Quick Outline","Ctrl+Alt+Shift+O","PDE editor"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Source","Correct Indentation","Ctrl+Alt+Shift+I","Editing Java Source"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Line End","End","Editing Text"
"Eclipse Class Decompiler","Decompile","Ctrl+Shift+Z","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal widget context"
"Run/Debug","Close Rendering","Ctrl+Alt+Shift+W","In Memory View"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Search","Open Search Dialog","Ctrl+Alt+Shift+H","In Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","Execute","Ctrl+Alt+Shift+U","In Windows"
"File","Refresh","F5","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"SVN","Show Properties","Ctrl+Alt+T","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Quick JUnit","JUnit テスト","Ctrl+0","Editing Text"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Edit","Cut","Ctrl+Alt+Shift+X","In Dialogs and Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Quick JUnit","JUnit デバッグ","Ctrl+Shift+0","Editing Text"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"SVN","Create Patch...","Ctrl+Alt+P","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Navigate","Open Type Hierarchy","F4","In Windows"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Eclipse Class Decompiler","Decompile With JD-Core","Ctrl+Shift+D","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Navigate","Go to Line","Ctrl+Alt+Shift+L","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Eclipse Class Decompiler","Decompile With Jad","Ctrl+Shift+V","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Select All","Ctrl+Alt+Shift+A","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"ASA 9.x table schema editor","Copy","Alt+C","In Windows"
"Quick JUnit","JUnit Plug-in デバッグ","Ctrl+Shift+-","Editing Text"
"File","Print","Ctrl+Alt+Shift+P","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Source","Indent Line","Ctrl+Alt+Shift+I","Editing JavaScript Source"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"View","Zoom Out","Ctrl+-","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Quick JUnit","テスティングペアを開く","Ctrl+9","Editing Text"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Text Editing","Delete Line","Ctrl+Alt+Shift+D","Editing Text"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Coverage TestNG Suite","Alt+Shift+E, G","In Windows"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Quick Outline","Ctrl+Alt+Shift+O","WikiText Markup Source Context"
"Task Repositories","Quick Outline","Ctrl+Alt+Shift+O","In Tasks Editor"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Find and Replace","Ctrl+Alt+Shift+F","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Edit","Incremental Find","Ctrl+Alt+Shift+J","Editing Text"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
